"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Sai Silks (Kalamandir) Ltd","Consumer Cyclical","214152727.25","241410000","0.67","877855","","","/mutual-fund/holding-history/356902/1698176/"
"Kajaria Ceramics Ltd","Industrials","250250751","241163000","0.67","185268","-50000","-21.25","/mutual-fund/holding-history/356902/709/"
"Fine Organic Industries Ltd Ordinary Shares","Basic Materials","213952772","232405000","0.64","46684","","","/mutual-fund/holding-history/356902/92286/"
"Aarti Industries Ltd","Basic Materials","225799754.2","231520000","0.64","356404","","","/mutual-fund/holding-history/356902/14/"
"India Shelter Finance Corporation Ltd","Financial Services","239305167","230841000","0.64","405946","405946","New","/mutual-fund/holding-history/356902/1826519/"
"Concord Biotech Ltd","Healthcare","220738588.4","227016000","0.63","154244","","","/mutual-fund/holding-history/356902/1587026/"
"Borosil Renewables Ltd Ordinary Shares","Consumer Cyclical","296175000","219950000","0.61","500000","","","/mutual-fund/holding-history/356902/2118/"
"Whirlpool of India Ltd","Consumer Cyclical","202386860","211315000","0.59","154600","","","/mutual-fund/holding-history/356902/1521/"
"TCI Express Ltd","Industrials","197570411.5","203844000","0.56","148315","","","/mutual-fund/holding-history/356902/52914/"
"GMM Pfaudler Ltd","Industrials","169081877.3","178208000","0.49","110558","","","/mutual-fund/holding-history/356902/2213/"
"Johnson Controls - Hitachi Air Conditioning India Ltd","Consumer Cyclical","174581220","169930000","0.47","152240","","","/mutual-fund/holding-history/356902/563/"
"INOX India Ltd","Industrials","68737810.2","67759000","0.19","76772","76772","New","/mutual-fund/holding-history/356902/1830843/"
