"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Suven Pharmaceuticals Ltd","Healthcare","1566374736","1661055838","1.26","2298085","23098","1.02","/mutual-fund/holding-history/20566/191143/"
"VRL Logistics Ltd","Industrials","1516438080","1624724960","1.23","2108800","","","/mutual-fund/holding-history/20566/1688/"
"Century Textiles & Industries Ltd","Basic Materials","1730745938.9","1572826468","1.19","1286513","","","/mutual-fund/holding-history/20566/253/"
"Persistent Systems Ltd","Technology","1748645125","1542167780","1.17","208700","","","/mutual-fund/holding-history/20566/1023/"
"KEC International Ltd","Industrials","1584307169.2","1515502531","1.15","2572136","","","/mutual-fund/holding-history/20566/727/"
"Dixon Technologies (India) Ltd","Technology","1295672034.85","1447134398","1.09","220373","","","/mutual-fund/holding-history/20566/60393/"
"Sobha Ltd","Real Estate","1968616186.15","1404556458","1.06","1424933","","","/mutual-fund/holding-history/20566/1261/"
"Welspun Living Ltd","Consumer Cyclical","1320599215.2","1388359219","1.05","9611348","","","/mutual-fund/holding-history/20566/1518/"
"H.G. Infra Engineering Ltd Ordinary Shares","Industrials","1494955743.05","1377003467","1.04","1624687","","","/mutual-fund/holding-history/20566/78664/"
"GMM Pfaudler Ltd","Industrials","1284457088.75","1347707978","1.02","836099","","","/mutual-fund/holding-history/20566/2213/"
"J.B. Chemicals & Pharmaceuticals Ltd","Healthcare","1377424200","1319865660","1","812400","87278","12.04","/mutual-fund/holding-history/20566/665/"
"Amber Enterprises India Ltd Ordinary Shares","Consumer Cyclical","1725165314.35","1318275795","1","420449","","","/mutual-fund/holding-history/20566/73518/"
"NCC Ltd","Industrials","1528711650","1310604975","0.99","7859700","","","/mutual-fund/holding-history/20566/918/"
"Apollo Pipes Ltd","Industrials","1374001887.5","1288955828","0.97","1881550","","","/mutual-fund/holding-history/20566/3689/"
"E I D Parry India Ltd","Basic Materials","1393628760","1258287705","0.95","2259450","-40000","-1.74","/mutual-fund/holding-history/20566/361/"
"Can Fin Homes Ltd","Financial Services","1221281795.5","1232614910","0.93","1585051","","","/mutual-fund/holding-history/20566/234/"
"Lakshmi Machine Works Ltd","Industrials","1110547480","1156802750","0.87","84200","-24515","-22.55","/mutual-fund/holding-history/20566/785/"
