"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Coal India Ltd","Energy","1168200000","1128000000","0.26","3000000","","","/mutual-fund/holding-history/10906/275/"
"L.G.Balakrishnan & Bros Ltd","Consumer Cyclical","1149863316.7","1120998000","0.26","890918","","","/mutual-fund/holding-history/10906/787/"
"Persistent Systems Ltd","Technology","1256929802.5","1108513000","0.25","150014","","","/mutual-fund/holding-history/10906/1023/"
"Lakshmi Machine Works Ltd","Industrials","1048029724","1091681000","0.25","79460","25000","45.91","/mutual-fund/holding-history/10906/785/"
"Indoco Remedies Ltd","Healthcare","999431159.85","1084650000","0.25","2744559","","","/mutual-fund/holding-history/10906/614/"
"Gujarat Fluorochemicals Ltd Ordinary Shares","Basic Materials","1005610822.25","1042208000","0.24","281735","","","/mutual-fund/holding-history/10906/169265/"
"Vesuvius India Ltd","Industrials","1006675200","1034323000","0.24","288000","","","/mutual-fund/holding-history/10906/1475/"
"Shriram Finance Ltd","Financial Services","1154310980.85","1027305000","0.23","500319","","","/mutual-fund/holding-history/10906/1288/"
"Page Industries Ltd","Consumer Cyclical","974679705","1022514000","0.23","26550","26550","New","/mutual-fund/holding-history/10906/994/"
"Styrenix Performance Materials Ltd","Basic Materials","1094795158.8","1020600000","0.23","706958","","","/mutual-fund/holding-history/10906/1300/"
"Krishna Institute of Medical Sciences Ltd","Healthcare","1037125000","989600000","0.23","500000","","","/mutual-fund/holding-history/10906/555690/"
"TTK Prestige Ltd","Consumer Cyclical","1037964417.1","988303000","0.23","1333202","","","/mutual-fund/holding-history/10906/1421/"
"Honeywell Automation India Ltd","Industrials","1027530734.55","978398000","0.22","26553","","","/mutual-fund/holding-history/10906/569/"
"Tatva Chintan Pharma Chem Ltd","Basic Materials","827986185","971412000","0.22","606450","","","/mutual-fund/holding-history/10906/596196/"
