"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"360 One Wam Ltd Ordinary Shares","Financial Services","1545681456.8","1741037737","1.53","2452684","","","/mutual-fund/holding-history/8298/166089/"
"Tube Investments of India Ltd Ordinary Shares","Industrials","1934131500","1717700250","1.51","485000","","","/mutual-fund/holding-history/8298/67548/"
"K.P.R. Mill Ltd","Consumer Cyclical","1585498835.9","1699882282","1.49","2060963","","","/mutual-fund/holding-history/8298/764/"
"Aster DM Healthcare Ltd Ordinary Shares","Healthcare","1769544241","1684066953","1.48","4109485","850000","26.08","/mutual-fund/holding-history/8298/77534/"
"DCB Bank Ltd","Financial Services","1649927598.75","1620649771","1.42","12199095","1750000","16.75","/mutual-fund/holding-history/8298/311/"
"Techno Electric & Engineering Co Ltd","Industrials","1595387655","1590119397","1.4","1988022","","","/mutual-fund/holding-history/8298/118204/"
"Eris Lifesciences Ltd Registered Shs","Healthcare","1521674460","1556919000","1.37","1710900","","","/mutual-fund/holding-history/8298/54899/"
"Blue Star Ltd","Industrials","1702612172.8","1520533504","1.33","1605632","","","/mutual-fund/holding-history/8298/209/"
"Finolex Cables Ltd","Industrials","1542766306.4","1490286047","1.31","1393898","","","/mutual-fund/holding-history/8298/416/"
"Zensar Technologies Ltd","Technology","1343134406.35","1424055951","1.25","2332033","","","/mutual-fund/holding-history/8298/1544/"
"Kirloskar Oil Engines Ltd","Industrials","1452897041.75","1381849185","1.21","2108245","","","/mutual-fund/holding-history/8298/745/"
"Intellect Design Arena Ltd.","","1485266617.6","1364866050","1.2","1631444","","","/mutual-fund/holding-history/8298/1553/"
"KNR Constructions Ltd","Industrials","1394085544.6","1358591062","1.19","5297684","","","/mutual-fund/holding-history/8298/752/"
"Ion Exchange (India) Ltd","Industrials","1322240700","1351570403","1.19","2404074","-9222","-0.38","/mutual-fund/holding-history/8298/2050/"
"Exide Industries Ltd","Consumer Cyclical","1278502835.2","1309188551","1.15","4118888","","","/mutual-fund/holding-history/8298/404/"
"Chemplast Sanmar Ltd","Basic Materials","1200886742.3","1269712016","1.11","2539678","","","/mutual-fund/holding-history/8298/623875/"
"TeamLease Services Ltd","Industrials","1148539107.45","1211699570","1.06","378887","","","/mutual-fund/holding-history/8298/1955/"
"Metropolis Healthcare Ltd","Healthcare","1115150170.35","1200647521","1.05","715459","","","/mutual-fund/holding-history/8298/139598/"
"Gateway Distriparks Ltd","Industrials","1245581934.3","1181282821","1.04","11380374","136714","1.22","/mutual-fund/holding-history/8298/852172/"
"Nesco Ltd","Industrials","1074400864.5","1146417217","1.01","1298762","-82966","-6","/mutual-fund/holding-history/8298/929/"
"Quess Corp Ltd","Industrials","1051212993.85","1136161693","1","2172601","","","/mutual-fund/holding-history/8298/4595/"
"Lemon Tree Hotels Ltd","Consumer Cyclical","1300248249","1125160669","0.99","9388074","","","/mutual-fund/holding-history/8298/81513/"
