Invested In,Sector,Market Value Latest Price,"Value as of <br> 31 Dec, 2023",% of Total Holding,Quantity,Month Change <br> in Shares,Month Change <br> in Shares %,History ,fundname
Apollo Pipes Ltd,Industrials,141303375.0,132557000,1.57,193500,,,/mutual-fund/holding-history/138033/3689/,Bank of India Small Cap Dir Gr
Suven Pharmaceuticals Ltd,Healthcare,123710400.0,131188000,1.55,181500,52028.0,40.18,/mutual-fund/holding-history/138033/191143/,Bank of India Small Cap Dir Gr
J.B. Chemicals & Pharmaceuticals Ltd,Healthcare,136487750.0,130784000,1.55,80500,,,/mutual-fund/holding-history/138033/665/,Bank of India Small Cap Dir Gr
Indian Bank,Financial Services,141634500.0,129427000,1.53,307500,105000.0,51.85,/mutual-fund/holding-history/138033/609/,Bank of India Small Cap Dir Gr
Brigade Enterprises Ltd,Real Estate,137467950.0,126442000,1.5,141000,,,/mutual-fund/holding-history/138033/219/,Bank of India Small Cap Dir Gr
Shanthi Gears Ltd,Industrials,115817350.0,125505000,1.48,209000,,,/mutual-fund/holding-history/138033/1213/,Bank of India Small Cap Dir Gr
Canara Bank,Financial Services,133075800.0,125125000,1.48,286000,,,/mutual-fund/holding-history/138033/232/,Bank of India Small Cap Dir Gr
Jamna Auto Industries Ltd,Consumer Cyclical,124264000.0,125104000,1.48,1120000,,,/mutual-fund/holding-history/138033/660/,Bank of India Small Cap Dir Gr
Krishna Institute of Medical Sciences Ltd,Healthcare,108690700.0,103710000,1.23,52400,,,/mutual-fund/holding-history/138033/555690/,Bank of India Small Cap Dir Gr
Tejas Networks Ltd,Technology,91001600.0,102625000,1.21,118000,,,/mutual-fund/holding-history/138033/54898/,Bank of India Small Cap Dir Gr
Home First Finance Co India Ltd ---,Financial Services,104881659.0,101141000,1.2,108742,,,/mutual-fund/holding-history/138033/407835/,Bank of India Small Cap Dir Gr
Fusion Micro Finance Ltd,Financial Services,106242600.0,97700000,1.16,169500,,,/mutual-fund/holding-history/138033/755078/,Bank of India Small Cap Dir Gr
Utkarsh Small Finance Bank Ltd,Financial Services,104670000.0,96930000,1.15,1800000,,,/mutual-fund/holding-history/138033/1542942/,Bank of India Small Cap Dir Gr
CMS Info Systems Ltd,Industrials,97375000.0,95650000,1.13,250000,50000.0,25,/mutual-fund/holding-history/138033/755507/,Bank of India Small Cap Dir Gr
Balrampur Chini Mills Ltd,Consumer Defensive,89182500.0,94404000,1.12,230000,-65000.0,-22.03,/mutual-fund/holding-history/138033/157/,Bank of India Small Cap Dir Gr
Ratnamani Metals & Tubes Ltd,Basic Materials,85408920.0,90135000,1.07,26800,,,/mutual-fund/holding-history/138033/1114/,Bank of India Small Cap Dir Gr
Aeroflex Industries Ltd,Industrials,91066118.0,86121000,1.02,555620,,,/mutual-fund/holding-history/138033/1617407/,Bank of India Small Cap Dir Gr
Mahindra Lifespace Developers Ltd,Real Estate,87975020.0,85974000,1.02,158200,,,/mutual-fund/holding-history/138033/818/,Bank of India Small Cap Dir Gr
JTEKT India Ltd,Consumer Cyclical,88911000.0,85725000,1.01,540000,,,/mutual-fund/holding-history/138033/1266/,Bank of India Small Cap Dir Gr
Metro Brands Ltd,Consumer Cyclical,79112295.0,85301000,1.01,67050,,,/mutual-fund/holding-history/138033/750564/,Bank of India Small Cap Dir Gr
Linde India Ltd,Basic Materials,86291215.0,85167000,1.01,15100,-7500.0,-33.19,/mutual-fund/holding-history/138033/791/,Bank of India Small Cap Dir Gr
Ethos Ltd,Consumer Cyclical,94986606.0,80918000,0.96,38740,,,/mutual-fund/holding-history/138033/877860/,Bank of India Small Cap Dir Gr
Prudent Corporate Advisory Services Ltd,Financial Services,82269415.8,78955000,0.93,65637,,,/mutual-fund/holding-history/138033/888523/,Bank of India Small Cap Dir Gr
Tube Investments of India Ltd Ordinary Shares,Industrials,87933195.0,78093000,0.92,22050,,,/mutual-fund/holding-history/138033/67548/,Bank of India Small Cap Dir Gr
Century Plyboards (India) Ltd,Basic Materials,79265000.0,77195000,0.91,100000,,,/mutual-fund/holding-history/138033/252/,Bank of India Small Cap Dir Gr
PG Electroplast Ltd,Technology,66079546.7,76076000,0.9,32051,,,/mutual-fund/holding-history/138033/1031/,Bank of India Small Cap Dir Gr
CIE Automotive India Ltd,Consumer Cyclical,78149400.0,75783000,0.9,161000,,,/mutual-fund/holding-history/138033/816/,Bank of India Small Cap Dir Gr
Westlife Foodworld Ltd,Consumer Cyclical,76254195.0,75232000,0.89,92100,,,/mutual-fund/holding-history/138033/2228/,Bank of India Small Cap Dir Gr
CCL Products (India) Ltd,Consumer Defensive,73818500.0,74031000,0.88,115000,,,/mutual-fund/holding-history/138033/243/,Bank of India Small Cap Dir Gr
Cera Sanitaryware Ltd,Industrials,76137705.0,72980000,0.86,9300,,,/mutual-fund/holding-history/138033/254/,Bank of India Small Cap Dir Gr
Lumax Industries Ltd,Consumer Cyclical,66507881.25,67144000,0.79,27077,,,/mutual-fund/holding-history/138033/802/,Bank of India Small Cap Dir Gr
Timken India Ltd,Industrials,66492985.0,65527000,0.78,20150,,,/mutual-fund/holding-history/138033/1399/,Bank of India Small Cap Dir Gr
IRM Energy Ltd,Utilities,60359930.4,63917000,0.76,118772,,,/mutual-fund/holding-history/138033/1748143/,Bank of India Small Cap Dir Gr
Stylam Industries Ltd,Consumer Cyclical,60265600.0,63707000,0.75,37000,,,/mutual-fund/holding-history/138033/3226/,Bank of India Small Cap Dir Gr
R R Kabel Ltd,Industrials,58684000.0,62856000,0.74,40000,,,/mutual-fund/holding-history/138033/1681351/,Bank of India Small Cap Dir Gr
Vedant Fashions Ltd,Consumer Cyclical,54452420.0,61366000,0.73,48400,,,/mutual-fund/holding-history/138033/816269/,Bank of India Small Cap Dir Gr
E I D Parry India Ltd,Basic Materials,64764000.0,58475000,0.69,105000,,,/mutual-fund/holding-history/138033/361/,Bank of India Small Cap Dir Gr
Go Fashion (India) Ltd,Consumer Cyclical,50222250.0,56327000,0.67,45000,,,/mutual-fund/holding-history/138033/728986/,Bank of India Small Cap Dir Gr
Ganesha Ecosphere Ltd,Consumer Cyclical,21045050.6,19958000,0.24,20356,,,/mutual-fund/holding-history/138033/1563/,Bank of India Small Cap Dir Gr
Birlasoft Ltd,Technology,1047892680.75,923413000,3.08,1280651,,,/mutual-fund/holding-history/138341/763/,Edelweiss Small Cap Dir Gr
KEI Industries Ltd,Industrials,851646663.0,869426000,2.9,267561,,,/mutual-fund/holding-history/138341/729/,Edelweiss Small Cap Dir Gr
J.B. Chemicals & Pharmaceuticals Ltd,Healthcare,861670055.0,825663000,2.75,508210,,,/mutual-fund/holding-history/138341/665/,Edelweiss Small Cap Dir Gr
Ajanta Pharma Ltd,Healthcare,710021072.25,677072000,2.26,324945,,,/mutual-fund/holding-history/138341/49/,Edelweiss Small Cap Dir Gr
UNO Minda Ltd,Consumer Cyclical,666153434.25,669561000,2.23,973695,,,/mutual-fund/holding-history/138341/864/,Edelweiss Small Cap Dir Gr
Westlife Foodworld Ltd,Consumer Cyclical,673285628.2,664259000,2.21,813196,,,/mutual-fund/holding-history/138341/2228/,Edelweiss Small Cap Dir Gr
APL Apollo Tubes Ltd,Basic Materials,597873825.3,616715000,2.05,401298,,,/mutual-fund/holding-history/138341/91/,Edelweiss Small Cap Dir Gr
Century Plyboards (India) Ltd,Basic Materials,604667503.95,588877000,1.96,762843,,,/mutual-fund/holding-history/138341/252/,Edelweiss Small Cap Dir Gr
Bharat Dynamics Ltd Ordinary Shares,Industrials,556908575.4,571356000,1.9,333668,,,/mutual-fund/holding-history/138341/80210/,Edelweiss Small Cap Dir Gr
Persistent Systems Ltd,Technology,630350120.0,555919000,1.85,75232,,,/mutual-fund/holding-history/138341/1023/,Edelweiss Small Cap Dir Gr
The Federal Bank Ltd,Financial Services,502197887.4,553020000,1.84,3541593,,,/mutual-fund/holding-history/138341/412/,Edelweiss Small Cap Dir Gr
Brigade Enterprises Ltd,Real Estate,585104543.1,538174000,1.79,600138,,,/mutual-fund/holding-history/138341/219/,Edelweiss Small Cap Dir Gr
Can Fin Homes Ltd,Financial Services,519327016.5,524146000,1.75,674013,,,/mutual-fund/holding-history/138341/234/,Edelweiss Small Cap Dir Gr
Indian Bank,Financial Services,569287321.4,520219000,1.73,1235969,142131.0,12.99,/mutual-fund/holding-history/138341/609/,Edelweiss Small Cap Dir Gr
Krishna Institute of Medical Sciences Ltd,Healthcare,541748466.5,516923000,1.72,261178,,,/mutual-fund/holding-history/138341/555690/,Edelweiss Small Cap Dir Gr
Equitas Small Finance Bank Ltd Ordinary Shares,Financial Services,512305940.5,508450000,1.69,4819435,,,/mutual-fund/holding-history/138341/325199/,Edelweiss Small Cap Dir Gr
Angel One Ltd Ordinary Shares,Financial Services,412333222.4,492310000,1.64,141152,,,/mutual-fund/holding-history/138341/300864/,Edelweiss Small Cap Dir Gr
Bikaji Foods International Ltd,Consumer Defensive,504581358.4,480223000,1.6,879368,,,/mutual-fund/holding-history/138341/1110875/,Edelweiss Small Cap Dir Gr
Spandana Sphoorty Financial Ltd,Financial Services,434686242.4,469233000,1.56,415729,,,/mutual-fund/holding-history/138341/155461/,Edelweiss Small Cap Dir Gr
Cholamandalam Investment and Finance Co Ltd,Financial Services,448140543.3,453577000,1.51,360039,,,/mutual-fund/holding-history/138341/262/,Edelweiss Small Cap Dir Gr
Dixon Technologies (India) Ltd,Technology,392053484.9,437884000,1.46,66682,,,/mutual-fund/holding-history/138341/60393/,Edelweiss Small Cap Dir Gr
Phoenix Mills Ltd,Real Estate,446025369.0,436012000,1.45,194245,,,/mutual-fund/holding-history/138341/1036/,Edelweiss Small Cap Dir Gr
Radico Khaitan Ltd,Consumer Defensive,433556772.15,434894000,1.45,262261,,,/mutual-fund/holding-history/138341/1090/,Edelweiss Small Cap Dir Gr
Karur Vysya Bank Ltd,Financial Services,461819426.25,432740000,1.44,2562105,,,/mutual-fund/holding-history/138341/721/,Edelweiss Small Cap Dir Gr
Ratnamani Metals & Tubes Ltd,Basic Materials,406833280.2,429346000,1.43,127658,,,/mutual-fund/holding-history/138341/1114/,Edelweiss Small Cap Dir Gr
JK Lakshmi Cement Ltd,Basic Materials,441665505.0,426720000,1.42,474450,,,/mutual-fund/holding-history/138341/685/,Edelweiss Small Cap Dir Gr
Ahluwalia Contracts (India) Ltd,Industrials,437764799.4,419430000,1.4,540851,,,/mutual-fund/holding-history/138341/43/,Edelweiss Small Cap Dir Gr
Voltas Ltd,Industrials,428378042.4,416936000,1.39,426162,426162.0,New,/mutual-fund/holding-history/138341/1500/,Edelweiss Small Cap Dir Gr
Navin Fluorine International Ltd,Basic Materials,360709717.5,415568000,1.38,107850,,,/mutual-fund/holding-history/138341/914/,Edelweiss Small Cap Dir Gr
TeamLease Services Ltd,Industrials,378100285.5,398893000,1.33,124730,,,/mutual-fund/holding-history/138341/1955/,Edelweiss Small Cap Dir Gr
Concord Biotech Ltd,Healthcare,366907600.5,389593000,1.3,264705,,,/mutual-fund/holding-history/138341/1587026/,Edelweiss Small Cap Dir Gr
Dalmia Bharat Ltd,Basic Materials,358508054.25,369913000,1.23,162585,,,/mutual-fund/holding-history/138341/120412/,Edelweiss Small Cap Dir Gr
PNC Infratech Ltd,Industrials,433457289.2,367258000,1.22,1044979,,,/mutual-fund/holding-history/138341/1717/,Edelweiss Small Cap Dir Gr
K.P.R. Mill Ltd,Consumer Cyclical,342076938.0,366756000,1.22,444660,,,/mutual-fund/holding-history/138341/764/,Edelweiss Small Cap Dir Gr
Tejas Networks Ltd,Technology,325051545.6,366568000,1.22,421488,,,/mutual-fund/holding-history/138341/54898/,Edelweiss Small Cap Dir Gr
Action Construction Equipment Ltd,Industrials,395480503.15,365586000,1.22,440917,,,/mutual-fund/holding-history/138341/24/,Edelweiss Small Cap Dir Gr
Rategain Travel Technologies Ltd,Technology,383825849.0,364328000,1.21,500588,,,/mutual-fund/holding-history/138341/747240/,Edelweiss Small Cap Dir Gr
Home First Finance Co India Ltd ---,Financial Services,374334024.0,360983000,1.2,388112,388112.0,New,/mutual-fund/holding-history/138341/407835/,Edelweiss Small Cap Dir Gr
KEC International Ltd,Industrials,371057519.25,354943000,1.18,602415,,,/mutual-fund/holding-history/138341/727/,Edelweiss Small Cap Dir Gr
GMM Pfaudler Ltd,Industrials,336446431.25,353014000,1.18,219005,,,/mutual-fund/holding-history/138341/2213/,Edelweiss Small Cap Dir Gr
Mold-tek Packaging Ltd,Consumer Cyclical,320765521.4,347625000,1.16,378842,79967.0,26.76,/mutual-fund/holding-history/138341/1577/,Edelweiss Small Cap Dir Gr
Metro Brands Ltd,Consumer Cyclical,322238949.3,347447000,1.16,273107,,,/mutual-fund/holding-history/138341/750564/,Edelweiss Small Cap Dir Gr
Suven Pharmaceuticals Ltd,Healthcare,322993200.0,342517000,1.14,473875,,,/mutual-fund/holding-history/138341/191143/,Edelweiss Small Cap Dir Gr
Emami Ltd,Consumer Defensive,296042242.5,338871000,1.13,601101,,,/mutual-fund/holding-history/138341/374/,Edelweiss Small Cap Dir Gr
Kirloskar Pneumatic Co Ltd,Industrials,350611856.5,335119000,1.12,556306,556306.0,New,/mutual-fund/holding-history/138341/2214/,Edelweiss Small Cap Dir Gr
Fortis Healthcare Ltd,Healthcare,343124202.75,334390000,1.11,797685,,,/mutual-fund/holding-history/138341/424/,Edelweiss Small Cap Dir Gr
Syngene International Ltd,Healthcare,321505753.8,329082000,1.1,469146,,,/mutual-fund/holding-history/138341/1771/,Edelweiss Small Cap Dir Gr
Rolex Rings Ltd,Industrials,308616256.35,326323000,1.09,129483,,,/mutual-fund/holding-history/138341/612873/,Edelweiss Small Cap Dir Gr
Jubilant Ingrevia Ltd Ordinary Shares,Basic Materials,296459710.2,324501000,1.08,638028,638028.0,New,/mutual-fund/holding-history/138341/450809/,Edelweiss Small Cap Dir Gr
RHI Magnesita India Ltd,Industrials,284667071.85,317777000,1.06,394631,,,/mutual-fund/holding-history/138341/989/,Edelweiss Small Cap Dir Gr
City Union Bank Ltd,Financial Services,298112594.8,314581000,1.05,2111279,,,/mutual-fund/holding-history/138341/295/,Edelweiss Small Cap Dir Gr
Avalon Technologies Ltd,Technology,297855776.25,312217000,1.04,566535,161293.0,39.8,/mutual-fund/holding-history/138341/1416031/,Edelweiss Small Cap Dir Gr
Arvind Fashions Ltd,Consumer Cyclical,350491716.0,303279000,1.01,739434,82776.0,12.61,/mutual-fund/holding-history/138341/130968/,Edelweiss Small Cap Dir Gr
V-Mart Retail Ltd,Consumer Cyclical,313009339.5,302623000,1.01,150957,,,/mutual-fund/holding-history/138341/1498/,Edelweiss Small Cap Dir Gr
Voltamp Transformers Ltd,Industrials,327500663.3,297411000,0.99,45611,,,/mutual-fund/holding-history/138341/1499/,Edelweiss Small Cap Dir Gr
Garware Technical Fibres Ltd,Consumer Cyclical,316762216.05,290496000,0.97,86303,,,/mutual-fund/holding-history/138341/441/,Edelweiss Small Cap Dir Gr
Cera Sanitaryware Ltd,Industrials,301562619.75,289055000,0.96,36835,,,/mutual-fund/holding-history/138341/254/,Edelweiss Small Cap Dir Gr
Amber Enterprises India Ltd Ordinary Shares,Consumer Cyclical,372504472.75,284647000,0.95,90785,-53488.0,-37.07,/mutual-fund/holding-history/138341/73518/,Edelweiss Small Cap Dir Gr
Minda Corp Ltd,Consumer Cyclical,298792603.2,282726000,0.94,731976,,,/mutual-fund/holding-history/138341/863/,Edelweiss Small Cap Dir Gr
Multi Commodity Exchange of India Ltd,Financial Services,278351356.5,276515000,0.92,86415,,,/mutual-fund/holding-history/138341/853/,Edelweiss Small Cap Dir Gr
Jamna Auto Industries Ltd,Consumer Cyclical,273328542.55,275176000,0.92,2463529,,,/mutual-fund/holding-history/138341/660/,Edelweiss Small Cap Dir Gr
Max Financial Services Ltd,Financial Services,247775348.0,269246000,0.9,282140,,,/mutual-fund/holding-history/138341/845/,Edelweiss Small Cap Dir Gr
CSB Bank Ltd Ordinary Shares,Financial Services,239538142.8,267992000,0.89,640134,,,/mutual-fund/holding-history/138341/174482/,Edelweiss Small Cap Dir Gr
Praj Industries Ltd,Industrials,238554393.0,259308000,0.86,466382,-193114.0,-29.28,/mutual-fund/holding-history/138341/1061/,Edelweiss Small Cap Dir Gr
KNR Constructions Ltd,Industrials,251361406.3,244962000,0.82,955202,,,/mutual-fund/holding-history/138341/752/,Edelweiss Small Cap Dir Gr
Max Healthcare Institute Ltd Ordinary Shares,Healthcare,242101505.0,226815000,0.76,330514,,,/mutual-fund/holding-history/138341/276825/,Edelweiss Small Cap Dir Gr
Power Mech Projects Ltd,Industrials,254272208.5,220834000,0.74,51530,,,/mutual-fund/holding-history/138341/1766/,Edelweiss Small Cap Dir Gr
Sona BLW Precision Forgings Ltd,Consumer Cyclical,199864341.0,220042000,0.73,341415,,,/mutual-fund/holding-history/138341/547977/,Edelweiss Small Cap Dir Gr
Mahindra Logistics Ltd,Industrials,244942110.0,219300000,0.73,565425,,,/mutual-fund/holding-history/138341/65007/,Edelweiss Small Cap Dir Gr
NOCIL Ltd,Basic Materials,208627324.75,211175000,0.7,771979,,,/mutual-fund/holding-history/138341/950/,Edelweiss Small Cap Dir Gr
Carborundum Universal Ltd,Industrials,215671489.0,208898000,0.7,187622,,,/mutual-fund/holding-history/138341/238/,Edelweiss Small Cap Dir Gr
Gateway Distriparks Ltd,Industrials,218468329.2,207191000,0.69,1996056,,,/mutual-fund/holding-history/138341/852172/,Edelweiss Small Cap Dir Gr
Cummins India Ltd,Industrials,225049466.2,204443000,0.68,104098,,,/mutual-fund/holding-history/138341/297/,Edelweiss Small Cap Dir Gr
Orient Electric Ltd Ordinary Shares,Consumer Cyclical,181373285.6,196059000,0.65,863888,,,/mutual-fund/holding-history/138341/94299/,Edelweiss Small Cap Dir Gr
Tata Technologies Ltd,Technology,34336500.0,35405000,0.12,30000,,,/mutual-fund/holding-history/138341/1792699/,Edelweiss Small Cap Dir Gr
Electronics Mart India Ltd,Consumer Cyclical,417206991.6,389927000,3.03,1907668,-3658.0,-0.19,/mutual-fund/holding-history/20920/1063762/,Union Small Cap Dir Gr
Nippon Life India Asset Management Ltd Ordinary Shares,Financial Services,444627992.0,385531000,3.0,860848,110000.0,14.65,/mutual-fund/holding-history/20920/64356/,Union Small Cap Dir Gr
Syrma SGS Technology Ltd,Technology,282757435.0,315954000,2.46,470870,,,/mutual-fund/holding-history/20920/995074/,Union Small Cap Dir Gr
Sonata Software Ltd,Technology,304042197.0,301707000,2.35,406202,,,/mutual-fund/holding-history/20920/1267/,Union Small Cap Dir Gr
J.B. Chemicals & Pharmaceuticals Ltd,Healthcare,294016655.0,281731000,2.19,173410,,,/mutual-fund/holding-history/20920/665/,Union Small Cap Dir Gr
Brigade Enterprises Ltd,Real Estate,305682898.15,281164000,2.19,313537,271763.0,650.56,/mutual-fund/holding-history/20920/219/,Union Small Cap Dir Gr
Spandana Sphoorty Financial Ltd,Financial Services,255911645.6,276250000,2.15,244751,,,/mutual-fund/holding-history/20920/155461/,Union Small Cap Dir Gr
Gabriel India Ltd,Consumer Cyclical,261125327.4,272313000,2.12,692732,5125.0,0.75,/mutual-fund/holding-history/20920/429/,Union Small Cap Dir Gr
KEC International Ltd,Industrials,283637583.6,271320000,2.11,460488,150000.0,48.31,/mutual-fund/holding-history/20920/727/,Union Small Cap Dir Gr
R R Kabel Ltd,Industrials,250811014.7,268642000,2.09,170957,57700.0,50.95,/mutual-fund/holding-history/20920/1681351/,Union Small Cap Dir Gr
KFin Technologies Ltd,Technology,299375514.0,267435000,2.08,554040,79476.0,16.75,/mutual-fund/holding-history/20920/1253626/,Union Small Cap Dir Gr
PNC Infratech Ltd,Industrials,305206521.6,258594000,2.01,735792,334600.0,83.4,/mutual-fund/holding-history/20920/1717/,Union Small Cap Dir Gr
SJS Enterprises Ltd,Consumer Cyclical,227751370.8,246472000,1.92,398306,,,/mutual-fund/holding-history/20920/710818/,Union Small Cap Dir Gr
Ethos Ltd,Consumer Cyclical,286337785.8,243928000,1.9,116782,-21305.0,-15.43,/mutual-fund/holding-history/20920/877860/,Union Small Cap Dir Gr
Kaynes Technology India Ltd,Industrials,266613552.8,241800000,1.88,92624,19855.0,27.28,/mutual-fund/holding-history/20920/1124672/,Union Small Cap Dir Gr
Concord Biotech Ltd,Healthcare,226352902.2,240348000,1.87,163302,,,/mutual-fund/holding-history/20920/1587026/,Union Small Cap Dir Gr
Neogen Chemicals Ltd,Basic Materials,222384430.8,234280000,1.82,158292,,,/mutual-fund/holding-history/20920/141845/,Union Small Cap Dir Gr
K.P.R. Mill Ltd,Consumer Cyclical,217758827.3,233469000,1.82,283061,,,/mutual-fund/holding-history/20920/764/,Union Small Cap Dir Gr
Krishna Institute of Medical Sciences Ltd,Healthcare,237346056.25,226470000,1.76,114425,,,/mutual-fund/holding-history/20920/555690/,Union Small Cap Dir Gr
Dixon Technologies (India) Ltd,Technology,198190380.05,221359000,1.72,33709,6692.0,24.77,/mutual-fund/holding-history/20920/60393/,Union Small Cap Dir Gr
JK Cement Ltd,Basic Materials,243199879.65,221071000,1.72,58357,37170.0,175.44,/mutual-fund/holding-history/20920/683/,Union Small Cap Dir Gr
Angel One Ltd Ordinary Shares,Financial Services,179881653.6,214772000,1.67,61578,,,/mutual-fund/holding-history/20920/300864/,Union Small Cap Dir Gr
Equitas Small Finance Bank Ltd Ordinary Shares,Financial Services,214978249.9,213360000,1.66,2022373,-450000.0,-18.2,/mutual-fund/holding-history/20920/325199/,Union Small Cap Dir Gr
Cyient Ltd,Industrials,185807800.0,210970000,1.64,92000,92000.0,New,/mutual-fund/holding-history/20920/301/,Union Small Cap Dir Gr
Central Depository Services (India) Ltd,Financial Services,204583784.2,210848000,1.64,115571,,,/mutual-fund/holding-history/20920/53219/,Union Small Cap Dir Gr
Gokaldas Exports Ltd,Consumer Cyclical,233652633.0,210716000,1.64,255135,,,/mutual-fund/holding-history/20920/480/,Union Small Cap Dir Gr
Voltamp Transformers Ltd,Industrials,227730394.8,206807000,1.61,31716,-7338.0,-18.79,/mutual-fund/holding-history/20920/1499/,Union Small Cap Dir Gr
CE Info Systems Ltd,Technology,202194884.7,194703000,1.51,100094,-27900.0,-21.8,/mutual-fund/holding-history/20920/750563/,Union Small Cap Dir Gr
Timken India Ltd,Industrials,196063558.5,193215000,1.5,59415,59415.0,New,/mutual-fund/holding-history/20920/1399/,Union Small Cap Dir Gr
Eureka Forbes Ltd,Technology,180181452.15,193023000,1.5,378811,,,/mutual-fund/holding-history/20920/850674/,Union Small Cap Dir Gr
PVR INOX Ltd,Communication Services,159380107.5,181264000,1.41,109258,21337.0,24.27,/mutual-fund/holding-history/20920/1087/,Union Small Cap Dir Gr
Hitachi Energy India Ltd Ordinary Shares,Technology,201120535.5,179772000,1.4,34149,,,/mutual-fund/holding-history/20920/202203/,Union Small Cap Dir Gr
Ratnamani Metals & Tubes Ltd,Basic Materials,167940069.3,177233000,1.38,52697,15000.0,39.79,/mutual-fund/holding-history/20920/1114/,Union Small Cap Dir Gr
Cera Sanitaryware Ltd,Industrials,181011253.5,173504000,1.35,22110,-12038.0,-35.25,/mutual-fund/holding-history/20920/254/,Union Small Cap Dir Gr
Home First Finance Co India Ltd ---,Financial Services,176269126.5,169982000,1.32,182757,,,/mutual-fund/holding-history/20920/407835/,Union Small Cap Dir Gr
CreditAccess Grameen Ltd Ordinary Shares,Financial Services,168308055.4,168853000,1.31,105761,,,/mutual-fund/holding-history/20920/100478/,Union Small Cap Dir Gr
Rainbow Childrens Medicare Ltd,Healthcare,170926433.0,167563000,1.3,140449,,,/mutual-fund/holding-history/20920/877862/,Union Small Cap Dir Gr
KEI Industries Ltd,Industrials,159945750.0,163285000,1.27,50250,50250.0,New,/mutual-fund/holding-history/20920/729/,Union Small Cap Dir Gr
TVS Holdings Ltd,Consumer Cyclical,164821650.0,162127000,1.26,21000,21000.0,New,/mutual-fund/holding-history/20920/1309/,Union Small Cap Dir Gr
Greenpanel Industries Ltd Ordinary Shares,Basic Materials,140897331.6,152239000,1.18,355532,355532.0,New,/mutual-fund/holding-history/20920/170350/,Union Small Cap Dir Gr
TeamLease Services Ltd,Industrials,132609437.1,139902000,1.09,43746,43746.0,New,/mutual-fund/holding-history/20920/1955/,Union Small Cap Dir Gr
Persistent Systems Ltd,Technology,156272066.25,137820000,1.07,18651,,,/mutual-fund/holding-history/20920/1023/,Union Small Cap Dir Gr
Grindwell Norton Ltd,Industrials,137486128.0,134529000,1.05,57760,57760.0,New,/mutual-fund/holding-history/20920/496/,Union Small Cap Dir Gr
Fine Organic Industries Ltd Ordinary Shares,Basic Materials,126139113.9,134428000,1.05,27003,27003.0,New,/mutual-fund/holding-history/20920/92286/,Union Small Cap Dir Gr
Indian Bank,Financial Services,142924640.6,130606000,1.02,310301,-64958.0,-17.31,/mutual-fund/holding-history/20920/609/,Union Small Cap Dir Gr
Deepak Nitrite Ltd,Basic Materials,117641349.2,130519000,1.01,52603,52603.0,New,/mutual-fund/holding-history/20920/318/,Union Small Cap Dir Gr
VRL Logistics Ltd,Industrials,121795405.2,130493000,1.01,169372,169372.0,New,/mutual-fund/holding-history/20920/1688/,Union Small Cap Dir Gr
Honasa Consumer Ltd,Consumer Defensive,143340500.0,130036000,1.01,295000,,,/mutual-fund/holding-history/20920/1769048/,Union Small Cap Dir Gr
Greenply Industries Ltd,Basic Materials,128858330.4,130003000,1.01,545086,545086.0,New,/mutual-fund/holding-history/20920/494/,Union Small Cap Dir Gr
Multi Commodity Exchange of India Ltd,Financial Services,130132440.0,129274000,1.01,40400,40400.0,New,/mutual-fund/holding-history/20920/853/,Union Small Cap Dir Gr
Carborundum Universal Ltd,Industrials,132928180.0,128754000,1.0,115640,-35368.0,-23.42,/mutual-fund/holding-history/20920/238/,Union Small Cap Dir Gr
Karur Vysya Bank Ltd,Financial Services,137177820.5,128540000,1.0,761042,-744970.0,-49.47,/mutual-fund/holding-history/20920/721/,Union Small Cap Dir Gr
Phoenix Mills Ltd,Real Estate,129175027.2,126275000,0.98,56256,-51000.0,-47.55,/mutual-fund/holding-history/20920/1036/,Union Small Cap Dir Gr
CG Power & Industrial Solutions Ltd,Industrials,126645346.3,124266000,0.97,273473,,,/mutual-fund/holding-history/20920/293/,Union Small Cap Dir Gr
DOMS Industries Ltd,Industrials,139214400.0,120077000,0.93,96000,96000.0,New,/mutual-fund/holding-history/20920/1819409/,Union Small Cap Dir Gr
Data Patterns (India) Ltd,Industrials,117542852.7,117736000,0.92,63258,-4797.0,-7.05,/mutual-fund/holding-history/20920/755079/,Union Small Cap Dir Gr
Kewal Kiran Clothing Ltd,Consumer Cyclical,111344244.9,113131000,0.88,147691,,,/mutual-fund/holding-history/20920/749/,Union Small Cap Dir Gr
Hindustan Copper Ltd,Basic Materials,115675908.45,112271000,0.87,410271,410271.0,New,/mutual-fund/holding-history/20920/551/,Union Small Cap Dir Gr
Bharat Dynamics Ltd Ordinary Shares,Industrials,107466791.4,110255000,0.86,64388,64388.0,New,/mutual-fund/holding-history/20920/80210/,Union Small Cap Dir Gr
Praj Industries Ltd,Industrials,95026470.0,103294000,0.8,185780,-248721.0,-57.24,/mutual-fund/holding-history/20920/1061/,Union Small Cap Dir Gr
Bikaji Foods International Ltd,Consumer Defensive,108253681.8,103028000,0.8,188661,,,/mutual-fund/holding-history/20920/1110875/,Union Small Cap Dir Gr
Ami Organics Ltd,Basic Materials,97578709.3,100762000,0.78,89806,-96605.0,-51.82,/mutual-fund/holding-history/20920/644637/,Union Small Cap Dir Gr
Jindal Stainless Ltd,Basic Materials,92974660.05,98803000,0.77,172703,172703.0,New,/mutual-fund/holding-history/20920/696/,Union Small Cap Dir Gr
