Invested In,Sector,Market Value Latest Price,"Value as of <br> 31 Dec, 2023",% of Total Holding,Quantity,Month Change <br> in Shares,Month Change <br> in Shares %,History ,fundname
RailTel Corporation of India Ltd,Communication Services,2608990000.0,2014480000,1.55,5960000,,,/mutual-fund/holding-history/6125/424520/,Quant Small Cap Dir Gr
Anand Rathi Wealth Ltd,Financial Services,2324840113.4,1982098000,1.52,764197,,,/mutual-fund/holding-history/6125/747241/,Quant Small Cap Dir Gr
Century Textiles & Industries Ltd,Basic Materials,2157695728.1,1960820000,1.51,1603877,,,/mutual-fund/holding-history/6125/253/,Quant Small Cap Dir Gr
TV18 Broadcast Ltd,Communication Services,2392272806.5,1880308000,1.45,37233818,8786000.0,30.88,/mutual-fund/holding-history/6125/1428/,Quant Small Cap Dir Gr
Sula Vineyards Ltd,Consumer Defensive,2406696354.2,1826363000,1.4,3663718,250000.0,7.32,/mutual-fund/holding-history/6125/1190656/,Quant Small Cap Dir Gr
Usha Martin Ltd,Basic Materials,2145504973.5,1799250000,1.38,6069321,,,/mutual-fund/holding-history/6125/1456/,Quant Small Cap Dir Gr
Keystone Realtors Ltd,Real Estate,1929338823.75,1784273000,1.37,2787055,1677807.0,151.26,/mutual-fund/holding-history/6125/1131322/,Quant Small Cap Dir Gr
National Aluminium Co Ltd,Basic Materials,1904850000.0,1781325000,1.37,13500000,13500000.0,New,/mutual-fund/holding-history/6125/911/,Quant Small Cap Dir Gr
Jammu & Kashmir Bank Ltd,Financial Services,1726818662.45,1626953000,1.25,13227259,2417472.0,22.36,/mutual-fund/holding-history/6125/653/,Quant Small Cap Dir Gr
Strides Pharma Science Ltd,Healthcare,1655997976.8,1566599000,1.2,2412936,,,/mutual-fund/holding-history/6125/1291/,Quant Small Cap Dir Gr
Restaurant Brands Asia Ltd Ordinary Shares,Consumer Cyclical,1645747020.0,1565245000,1.2,14000400,6679400.0,91.24,/mutual-fund/holding-history/6125/357598/,Quant Small Cap Dir Gr
SJVN Ltd,Utilities,1995254300.0,1558337000,1.2,17134000,,,/mutual-fund/holding-history/6125/1250/,Quant Small Cap Dir Gr
Poly Medicure Ltd,Healthcare,1487242224.8,1555086000,1.2,1043752,457577.0,78.06,/mutual-fund/holding-history/6125/1053/,Quant Small Cap Dir Gr
Graphite India Ltd,Industrials,1466724525.0,1521908000,1.17,2766100,100000.0,3.75,/mutual-fund/holding-history/6125/489/,Quant Small Cap Dir Gr
Indoco Remedies Ltd,Healthcare,1376008142.75,1493336000,1.15,3778685,2420533.0,178.22,/mutual-fund/holding-history/6125/614/,Quant Small Cap Dir Gr
Man Infraconstruction Ltd,Industrials,1361272500.0,1306701000,1.01,6030000,,,/mutual-fund/holding-history/6125/834/,Quant Small Cap Dir Gr
